Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
18;28;13;96;7
18;28;13;95;7
18;28;13;94;7
18;28;13;93;7
18;28;13;92;7
18;28;13;91;7
18;28;13;90;7
18;28;13;89;7
18;28;13;88;7
18;28;13;87;7
18;28;13;86;7
18;28;13;85;7
18;28;13;84;7
18;28;13;83;7
18;28;13;82;7
18;28;13;81;7
18;28;13;80;7
18;28;13;79;7
18;28;13;78;7
18;28;13;77;7
18;28;13;76;7
18;28;13;75;7
18;28;13;74;7
18;28;13;73;7
18;28;13;72;7
18;28;13;71;7
18;28;13;70;7
18;28;13;69;7
18;28;13;68;7
18;28;13;67;7
18;28;13;66;7
18;28;13;65;7
18;28;13;64;7
18;28;13;63;7
18;28;13;62;7
18;28;13;61;7
18;28;13;60;7
18;28;13;59;7
18;28;13;58;7
18;28;13;57;7
18;28;13;56;7
18;28;13;55;7
18;28;13;54;7
18;28;13;53;7
18;28;13;52;7
18;28;13;51;7
18;28;13;50;7
18;28;13;49;7
18;28;13;48;7
18;28;13;47;7
18;28;13;46;7
18;28;13;45;7
18;28;13;44;7
18;28;13;43;7
18;28;13;42;7
18;28;13;41;7
18;28;13;40;7
18;28;13;39;7
18;28;13;38;7
18;28;13;37;7
18;28;13;36;7
18;28;13;35;7
18;28;13;34;7
18;28;13;33;7
18;28;13;32;7
18;28;13;31;7
17;28;13;18;7
17;28;13;19;7
17;28;13;20;7
18;28;13;21;7
17;28;13;22;7
16;28;13;24;7
17;28;13;23;7
17;28;13;26;7
16;28;13;25;7
17;28;13;28;7
17;28;13;27;7
17;28;13;30;7
18;28;13;29;7
18;27;14;2;7
18;27;14;1;7
17;27;14;3;7
17;27;14;4;7
19;27;14;5;7
18;27;14;6;7
17;27;14;7;7
18;27;14;8;7
18;27;14;9;7
18;27;14;10;7
18;27;14;11;7
18;27;14;12;7
18;27;14;13;7
17;27;14;14;7
18;27;14;15;7
18;27;14;16;7
18;27;14;100;7
18;27;14;99;7
18;27;14;98;7
18;27;14;97;7
18;27;14;96;7
18;27;14;95;7
18;27;14;94;7
18;27;14;93;7
18;27;14;92;7
18;27;14;91;7
18;27;14;90;7
18;27;14;89;7
18;27;14;88;7
18;27;14;87;7
18;27;14;86;7
18;27;14;85;7
18;27;14;84;7
18;27;14;83;7
18;27;14;82;7
18;27;14;81;7
18;27;14;80;7
18;27;14;79;7
18;27;14;78;7
18;27;14;77;7
18;27;14;76;7
18;27;14;75;7
18;27;14;74;7
18;27;14;73;7
18;27;14;72;7
18;27;14;71;7
18;27;14;70;7
18;27;14;69;7
18;27;14;68;7
18;27;14;67;7
18;27;14;66;7
18;27;14;65;7
18;27;14;64;7
18;27;14;63;7
18;27;14;62;7
18;27;14;61;7
18;27;14;60;7
18;27;14;59;7
18;27;14;58;7
18;27;14;57;7
18;27;14;56;7
18;27;14;55;7
18;27;14;54;7
18;27;14;53;7
18;27;14;52;7
18;27;14;51;7
18;27;14;50;7
18;27;14;49;7
18;27;14;48;7
18;27;14;47;7
18;27;14;46;7
18;27;14;45;7
18;27;14;44;7
