;Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
720;344.0;26.0;25;1;12
721;344.0;26.0;25;2;12
722;343.0;26.0;25;3;12
723;344.0;26.0;25;4;12
724;344.0;26.0;25;5;12
725;345.0;26.0;25;6;12
726;345.0;26.0;25;8;12
727;346.0;26.0;25;7;12
728;345.0;26.0;25;10;12
729;345.0;26.0;25;9;12
730;345.0;26.0;25;12;12
731;345.0;26.0;25;11;12
732;345.0;26.0;25;13;12
733;345.0;26.0;25;14;12
734;345.0;26.0;25;15;12
735;345.0;26.0;25;16;12
736;345.0;25.0;25;17;12
737;346.0;26.0;25;18;12
738;345.0;26.0;25;19;12
739;345.0;26.0;25;20;12
740;343.0;26.0;25;21;12
741;344.0;26.0;25;22;12
742;345.0;26.0;25;23;12
743;345.0;26.0;25;24;12
744;344.0;26.0;25;25;12
745;344.0;26.0;25;26;12
746;344.0;26.0;25;27;12
747;343.0;26.0;25;28;12
748;345.0;26.0;25;29;12
749;345.0;27.0;25;30;12
750;488.0;26.0;26;2;13
751;488.0;25.0;26;1;13
752;486.0;26.0;26;4;13
753;486.0;25.0;26;3;13
754;486.0;27.0;26;5;13
755;486.0;26.0;26;6;13
756;485.0;26.0;26;7;13
757;485.0;26.0;26;8;13
758;488.0;26.0;26;9;13
759;488.0;26.0;26;10;13
760;487.0;26.0;26;11;13
761;487.0;26.0;26;12;13
762;488.0;26.0;26;13;13
763;488.0;26.0;26;14;13
764;487.0;25.0;26;15;13
765;487.0;26.0;26;16;13
766;487.0;26.0;26;17;13
767;488.0;26.0;26;18;13
768;487.0;26.0;26;19;13
769;488.0;26.0;26;20;13
770;488.0;25.0;26;21;13
771;488.0;26.0;26;22;13
772;486.0;25.0;26;23;13
773;486.0;25.0;26;24;13
774;487.0;25.0;26;25;13
775;488.0;26.0;26;26;13
776;488.0;24.0;26;27;13
777;487.0;25.0;26;28;13
778;487.0;26.0;26;29;13
779;488.0;26.0;26;30;13
